field_name,country,field_type,total_wells,prod_wells,inj_wells,avg_depth_m,avg_temp_C,avg_pressure_MPa,avg_porosity,avg_permeability_mD,avg_flow_rate_kg_s,total_power_MWe
Los Humeros,Mexico,Vapor-Dominated,220,158,62,2791.92,278.726,0.911,0.038,9.735,17.224,800.249
Mak-Ban,Philippines,Liquid-Dominated,484,329,155,1950.625,184.88,16.983,0.086,58.47,14.669,1056.203
Makiling-Banahaw,Philippines,Liquid-Dominated,484,329,155,1933.226,178.682,16.723,0.085,50.42,14.189,993.064
Matsukawa,Japan,Vapor-Dominated,108,78,30,1678.444,177.583,0.867,0.038,10.282,14.018,199.433
Menengai,Kenya,Liquid-Dominated,134,91,43,2968.812,235.399,25.595,0.066,40.572,15.42,400.159
Mindanao BGI,Philippines,Liquid-Dominated,233,158,75,1920.064,179.392,16.594,0.088,52.092,13.095,459.058
Miravalles,Costa Rica,Liquid-Dominated,290,197,93,2019.998,181.462,17.505,0.086,56.299,14.809,615.64
Momotombo,Nicaragua,Liquid-Dominated,134,91,43,1919.969,178.479,16.3,0.084,46.141,14.192,269.182
Monte Amiata,Italy,Vapor-Dominated,281,202,79,1683.703,176.572,0.866,0.038,9.538,14.75,529.685
Muara Laboh,Indonesia,Liquid-Dominated,263,179,84,2027.869,186.209,17.448,0.085,53.03,14.216,566.86
Mutnovskoe,Russia,Vapor-Dominated,160,115,45,1884.519,192.308,0.864,0.038,10.548,15.329,340.829
Nesjavellir,Iceland,Liquid-Dominated,248,169,79,2012.507,185.889,17.326,0.095,72.267,14.982,551.893
Newberry Volcano,USA,EGS,106,64,42,3188.042,191.031,44.179,0.028,5.005,9.751,200.858
Nga Awa Purua,New Zealand,Liquid-Dominated,267,182,85,2382.641,208.156,20.878,0.087,63.073,14.839,673.838
Ogiri,Japan,Liquid-Dominated,124,84,40,2345.515,207.432,19.997,0.085,54.269,14.58,310.125
Ohaaki,New Zealand,Liquid-Dominated,232,158,74,2021.727,185.494,17.138,0.086,54.396,15.106,511.485
Olkaria I-II-III-IV,Kenya,Liquid-Dominated,549,373,176,2563.683,209.625,21.844,0.076,47.581,14.168,1328.818
Olkaria V,Kenya,Liquid-Dominated,290,197,93,2731.998,222.175,23.315,0.076,46.849,14.823,790.921
Orzunovac,North Macedonia,EGS,32,19,13,2200.762,132.271,34.475,0.038,6.691,8.041,36.084
Otake,Japan,Liquid-Dominated,78,53,25,2037.308,182.814,17.485,0.086,51.49,13.664,160.82
Palinpinon,Philippines,Liquid-Dominated,313,213,100,1839.349,175.08,15.82,0.085,52.069,14.525,626.884
Patuha,Indonesia,Vapor-Dominated,168,121,47,1470.132,166.054,0.872,0.039,12.427,14.457,291.089
Pauzhetka,Russia,Liquid-Dominated,78,53,25,1475.695,139.666,12.551,0.097,54.805,13.42,114.311
Platanares,Honduras,Liquid-Dominated,51,35,16,1388.624,133.064,11.903,0.097,47.072,13.395,65.181
Puga Valley,India,Liquid-Dominated,39,27,12,1894.915,162.579,16.622,0.077,41.005,15.887,72.847
Puna,USA,Liquid-Dominated,139,95,44,1990.247,197.811,17.404,0.084,54.513,16.042,345.097
Raft River,USA,Liquid-Dominated,81,55,26,1620.662,135.189,13.958,0.103,44.897,11.958,105.14
Rantau Dedap,Indonesia,Liquid-Dominated,224,152,72,1951.413,179.095,16.801,0.075,38.997,14.112,451.933
Reykjanes,Iceland,Liquid-Dominated,226,154,72,2719.487,223.572,23.443,0.086,66.248,17.442,692.063
Ribeira Grande,Portugal,Liquid-Dominated,117,80,37,1653.715,156.018,14.009,0.086,48.623,14.097,199.409
Rittershoffen,France,EGS,111,67,44,2238.323,136.038,34.591,0.037,6.17,8.205,126.424
Roosevelt Hot Springs,USA,Liquid-Dominated,134,91,43,1819.562,169.388,15.41,0.076,36.113,13.862,252.052
Rotokawa,New Zealand,Liquid-Dominated,298,203,95,2562.437,218.292,21.923,0.087,60.406,15.721,821.588
Sabalan,Iran,Liquid-Dominated,51,35,16,2069.357,180.195,17.458,0.086,40.478,13.375,96.467
Salton Sea,USA,Liquid-Dominated,417,284,133,2017.507,186.662,17.415,0.096,62.555,14.414,909.954
San Jacinto-Tizate,Nicaragua,Liquid-Dominated,198,135,63,1832.032,170.06,15.709,0.085,52.784,14.868,393.175
Sarulla,Indonesia,Liquid-Dominated,410,279,131,2117.549,190.188,18.106,0.095,56.646,14.356,891.205
Sorik Marapi,Indonesia,Liquid-Dominated,350,238,112,1851.848,173.609,16.003,0.086,46.774,13.816,668.614
Soultz-sous-Forets,France,EGS,23,14,9,4626.304,214.177,46.087,0.018,3.358,10.524,48.953
Steamboat Hills,USA,Liquid-Dominated,182,124,58,1410.979,135.068,12.263,0.096,44.761,13.146,244.71
Svartsengi,Iceland,Liquid-Dominated,404,275,129,1853.391,168.017,15.86,0.095,64.387,14.404,765.658
Tattapani,India,EGS,51,31,20,2691.104,152.366,40.987,0.038,7.153,8.915,69.247
Tauhara,New Zealand,Liquid-Dominated,298,203,95,2211.909,195.619,18.985,0.086,54.469,14.584,683.966
Tendaho,Ethiopia,Liquid-Dominated,71,48,23,2163.246,192.189,18.467,0.075,36.09,14.959,160.472
Tengchong,China,Liquid-Dominated,71,48,23,1611.213,157.687,13.151,0.085,45.278,13.775,123.546
The Geysers,USA,Vapor-Dominated,607,437,170,2217.243,212.696,0.866,0.048,14.392,16.029,1519.694
Tiwi,Philippines,Liquid-Dominated,410,279,131,2100.542,193.194,18.05,0.095,61.63,14.396,946.57
Tongonan,Philippines,Liquid-Dominated,240,163,77,2025.509,187.873,17.317,0.095,61.082,15.041,551.352
Travale,Italy,Vapor-Dominated,175,126,49,3241.453,280.781,0.879,0.039,8.391,16.798,615.825
Tulu Moye,Ethiopia,Liquid-Dominated,101,69,32,2584.841,217.842,22.246,0.067,42.92,15.055,267.506
Tuzla,Turkey,Liquid-Dominated,96,65,31,1439.993,132.435,12.437,0.096,49.16,12.027,119.903
Ulubelu,Indonesia,Liquid-Dominated,335,228,107,1921.105,177.643,16.676,0.087,51.26,13.923,667.195
Upper Mahiao,Philippines,Liquid-Dominated,253,172,81,2027.558,181.742,17.32,0.086,55.25,14.271,526.38
Wairakei,New Zealand,Liquid-Dominated,304,207,97,1841.321,171.776,15.883,0.097,68.995,14.809,601.947
Wayang Windu,Indonesia,Vapor-Dominated,340,245,95,1667.662,177.808,0.866,0.048,10.177,14.358,641.28
Yanaizu-Nishiyama,Japan,Liquid-Dominated,182,124,58,2026.976,183.778,17.47,0.088,57.206,13.747,386.995
Yangbajain,China,Liquid-Dominated,115,78,37,1858.413,178.335,16.084,0.076,44.189,14.281,234.339
