well_id,field_name,country,field_type,latitude,longitude,well_type,well_depth_m,temperature_C,pressure_MPa,porosity,permeability_mD,flow_rate_kg_s,power_generated_MWe
THEGEYSE_W0063,The Geysers,USA,Vapor-Dominated,38.81164,-122.62647,Production,2795.8,286.65,1.0,0.03896,4.3629,36.055,4.9129
THEGEYSE_W0064,The Geysers,USA,Vapor-Dominated,38.83188,-122.7655,Production,2774.2,290.66,1.0,0.06059,27.801,40.545,5.6062
THEGEYSE_W0065,The Geysers,USA,Vapor-Dominated,38.82348,-122.67222,Production,2033.0,250.1,1.0,0.04909,8.1355,33.102,3.9036
THEGEYSE_W0066,The Geysers,USA,Vapor-Dominated,38.81272,-122.74278,Production,2552.1,257.0,1.0,0.05032,20.2056,27.171,3.2981
THEGEYSE_W0067,The Geysers,USA,Vapor-Dominated,38.74048,-122.71643,Production,2093.4,234.68,1.0,0.06849,45.7183,41.705,4.5956
THEGEYSE_W0068,The Geysers,USA,Vapor-Dominated,38.78279,-122.68529,Production,2457.7,263.94,1.0,0.04873,17.698,19.396,2.422
THEGEYSE_W0069,The Geysers,USA,Vapor-Dominated,38.7155,-122.80475,Production,2469.2,251.87,1.0,0.05712,4.5118,39.402,4.6815
THEGEYSE_W0070,The Geysers,USA,Vapor-Dominated,38.76845,-122.70519,Production,2590.7,252.49,1.0,0.04841,4.9205,26.703,3.181
THEGEYSE_W0071,The Geysers,USA,Vapor-Dominated,38.90867,-122.73704,Production,2461.0,254.42,1.0,0.04232,6.4869,50.245,6.034
THEGEYSE_W0072,The Geysers,USA,Vapor-Dominated,38.76725,-122.6648,Production,1950.6,230.71,1.0,0.07672,23.6249,16.547,1.7904
THEGEYSE_W0073,The Geysers,USA,Vapor-Dominated,38.70962,-122.77889,Production,2418.4,241.42,1.0,0.05246,11.9578,41.105,4.6683
THEGEYSE_W0074,The Geysers,USA,Vapor-Dominated,38.81608,-122.79645,Production,2510.8,251.51,1.0,0.04831,10.9819,22.475,2.6663
THEGEYSE_W0075,The Geysers,USA,Vapor-Dominated,38.81555,-122.71779,Production,1782.1,195.39,1.0,0.05179,11.664,21.702,1.9637
THEGEYSE_W0076,The Geysers,USA,Vapor-Dominated,38.75386,-122.68755,Production,2686.5,262.39,1.0,0.03268,9.3166,38.859,4.8221
THEGEYSE_W0077,The Geysers,USA,Vapor-Dominated,38.79055,-122.74484,Production,2206.5,236.76,1.0,0.06277,6.6349,26.682,2.9679
THEGEYSE_W0078,The Geysers,USA,Vapor-Dominated,38.79539,-122.82551,Production,2615.4,250.67,1.0,0.04526,19.7563,12.786,1.5115
THEGEYSE_W0079,The Geysers,USA,Vapor-Dominated,38.83146,-122.71637,Production,2502.3,230.93,1.0,0.03452,5.3218,28.754,3.1144
THEGEYSE_W0080,The Geysers,USA,Vapor-Dominated,38.68796,-122.80398,Production,2154.3,211.47,1.0,0.04293,10.1656,37.835,3.7285
THEGEYSE_W0081,The Geysers,USA,Vapor-Dominated,38.73384,-122.80758,Production,2414.2,217.03,1.0,0.03698,6.6932,25.198,2.5536
THEGEYSE_W0082,The Geysers,USA,Vapor-Dominated,38.75122,-122.7339,Production,2574.0,262.99,1.0,0.04947,12.9227,22.628,2.8147
THEGEYSE_W0083,The Geysers,USA,Vapor-Dominated,38.74865,-122.64938,Production,2397.3,254.71,1.0,0.05164,10.8515,28.598,3.4385
THEGEYSE_W0084,The Geysers,USA,Vapor-Dominated,38.77628,-122.70897,Production,2194.2,254.07,1.0,0.03578,8.4807,17.927,2.1497
THEGEYSE_W0085,The Geysers,USA,Vapor-Dominated,38.77649,-122.82305,Production,2131.2,244.75,1.0,0.06373,48.38,39.017,4.4964
THEGEYSE_W0086,The Geysers,USA,Vapor-Dominated,38.77802,-122.70592,Production,2169.6,275.32,1.0,0.05586,14.9092,45.175,5.8987
THEGEYSE_W0087,The Geysers,USA,Vapor-Dominated,38.77066,-122.76199,Production,2726.9,291.11,1.0,0.038,11.0615,34.769,4.8153
THEGEYSE_W0088,The Geysers,USA,Vapor-Dominated,38.78411,-122.68673,Production,2429.7,277.41,1.0,0.03762,7.0752,13.141,1.7297
THEGEYSE_W0089,The Geysers,USA,Vapor-Dominated,38.75772,-122.66733,Production,2864.1,321.27,1.0,0.0417,1.5404,32.97,5.065
THEGEYSE_W0090,The Geysers,USA,Vapor-Dominated,38.77827,-122.72829,Production,2340.5,259.11,1.0,0.04142,3.5669,22.669,2.7757
THEGEYSE_W0091,The Geysers,USA,Vapor-Dominated,38.78832,-122.71538,Production,2311.8,253.75,1.0,0.07149,24.6576,21.42,2.5652
THEGEYSE_W0092,The Geysers,USA,Vapor-Dominated,38.85103,-122.76854,Production,2482.0,252.94,1.0,0.05434,10.6993,25.544,3.0487
THEGEYSE_W0093,The Geysers,USA,Vapor-Dominated,38.74936,-122.75939,Production,2553.9,237.36,1.0,0.06999,60.2749,32.372,3.6106
THEGEYSE_W0094,The Geysers,USA,Vapor-Dominated,38.71103,-122.77655,Production,2766.0,320.22,1.0,0.03942,6.1235,28.447,4.3551
THEGEYSE_W0095,The Geysers,USA,Vapor-Dominated,38.75553,-122.68779,Production,2577.9,264.18,1.0,0.01725,0.2731,30.304,3.7876
THEGEYSE_W0096,The Geysers,USA,Vapor-Dominated,38.82102,-122.71464,Production,2538.6,265.62,1.0,0.05729,23.6063,38.897,4.8898
THEGEYSE_W0097,The Geysers,USA,Vapor-Dominated,38.79843,-122.75967,Production,2555.1,273.35,1.0,0.04543,5.4051,34.28,4.4423
THEGEYSE_W0098,The Geysers,USA,Vapor-Dominated,38.81227,-122.63184,Production,2688.8,272.75,1.0,0.04791,11.0949,23.974,3.0995
THEGEYSE_W0099,The Geysers,USA,Vapor-Dominated,38.75768,-122.7303,Production,2631.5,245.47,1.0,0.05903,8.475,40.1,4.6356
THEGEYSE_W0100,The Geysers,USA,Vapor-Dominated,38.75205,-122.72114,Production,2243.5,238.97,1.0,0.04693,10.645,37.156,4.1742
THEGEYSE_W0101,The Geysers,USA,Vapor-Dominated,38.7076,-122.84994,Production,2610.2,226.42,1.0,0.05491,30.6975,27.734,2.9411
THEGEYSE_W0102,The Geysers,USA,Vapor-Dominated,38.87233,-122.7935,Production,2106.1,257.83,1.0,0.05035,6.1618,41.219,5.0206
THEGEYSE_W0103,The Geysers,USA,Vapor-Dominated,38.71742,-122.66781,Production,2322.1,242.59,1.0,0.04423,5.4911,13.457,1.5363
THEGEYSE_W0104,The Geysers,USA,Vapor-Dominated,38.81214,-122.67354,Production,2730.0,279.84,1.0,0.05373,23.1523,38.59,5.1265
THEGEYSE_W0105,The Geysers,USA,Vapor-Dominated,38.74618,-122.64995,Production,2063.8,213.62,1.0,0.04341,7.5189,18.518,1.8449
THEGEYSE_W0106,The Geysers,USA,Vapor-Dominated,38.75738,-122.86119,Production,2148.1,219.99,1.0,0.0463,17.1879,27.083,2.7847
THEGEYSE_W0107,The Geysers,USA,Vapor-Dominated,38.77982,-122.79792,Production,2476.0,247.41,1.0,0.04917,8.0898,18.399,2.1448
THEGEYSE_W0108,The Geysers,USA,Vapor-Dominated,38.72992,-122.75406,Production,2490.2,268.05,1.0,0.04686,9.3163,17.54,2.2263
THEGEYSE_W0109,The Geysers,USA,Vapor-Dominated,38.78298,-122.77235,Production,2451.0,269.02,1.0,0.05207,8.431,33.404,4.2562
THEGEYSE_W0110,The Geysers,USA,Vapor-Dominated,38.88376,-122.77446,Production,2565.2,289.23,1.0,0.04971,20.8403,37.88,5.2105
THEGEYSE_W0111,The Geysers,USA,Vapor-Dominated,38.86638,-122.71818,Production,2419.9,258.75,1.0,0.05541,32.5277,29.856,3.6503
THEGEYSE_W0112,The Geysers,USA,Vapor-Dominated,38.76713,-122.82343,Production,2176.8,265.1,1.0,0.04727,11.4429,13.867,1.7396
THEGEYSE_W0113,The Geysers,USA,Vapor-Dominated,38.83393,-122.74193,Production,2735.5,284.5,1.0,0.03326,11.3362,34.566,4.6725
THEGEYSE_W0114,The Geysers,USA,Vapor-Dominated,38.74872,-122.72021,Production,2785.7,275.6,1.0,0.05171,6.2785,31.821,4.1596
THEGEYSE_W0115,The Geysers,USA,Vapor-Dominated,38.81858,-122.88243,Production,2571.1,292.26,1.0,0.03378,3.4695,38.758,5.3902
THEGEYSE_W0116,The Geysers,USA,Vapor-Dominated,38.75661,-122.72267,Production,2291.8,249.36,1.0,0.05813,9.0853,24.833,2.9192
THEGEYSE_W0117,The Geysers,USA,Vapor-Dominated,38.85504,-122.69749,Production,2963.5,272.51,1.0,0.04316,15.9488,23.882,3.0848
THEGEYSE_W0118,The Geysers,USA,Vapor-Dominated,38.83151,-122.72806,Production,2110.2,212.54,1.0,0.06325,23.6755,34.836,3.4518
THEGEYSE_W0119,The Geysers,USA,Vapor-Dominated,38.78393,-122.83991,Production,2153.7,209.48,1.0,0.05079,6.7717,38.557,3.7612
THEGEYSE_W0120,The Geysers,USA,Vapor-Dominated,38.88442,-122.74698,Production,1880.2,203.3,1.0,0.05296,27.5222,28.286,2.6716
THEGEYSE_W0121,The Geysers,USA,Vapor-Dominated,38.77047,-122.72913,Production,2075.4,194.57,1.0,0.05509,10.9771,25.826,2.3262
THEGEYSE_W0122,The Geysers,USA,Vapor-Dominated,38.83528,-122.68065,Production,2551.0,291.45,1.001,0.05746,22.2508,31.872,4.4197
THEGEYSE_W0123,The Geysers,USA,Vapor-Dominated,38.86069,-122.71732,Production,2163.9,239.61,1.0,0.06093,19.1055,34.904,3.9324
THEGEYSE_W0124,The Geysers,USA,Vapor-Dominated,38.7725,-122.73372,Production,2750.3,273.85,1.0,0.05369,21.9243,28.463,3.6957
THEGEYSE_W0125,The Geysers,USA,Vapor-Dominated,38.74805,-122.80615,Production,2433.5,211.41,1.0,0.04177,17.4495,26.719,2.6323
THEGEYSE_W0126,The Geysers,USA,Vapor-Dominated,38.65503,-122.62545,Production,2175.6,218.17,1.0,0.03155,1.9263,35.468,3.6146
THEGEYSE_W0127,The Geysers,USA,Vapor-Dominated,38.80974,-122.69733,Production,1815.3,210.66,1.0,0.07564,67.7898,36.32,3.5647
THEGEYSE_W0128,The Geysers,USA,Vapor-Dominated,38.69535,-122.74492,Production,2910.3,244.0,1.0,0.04422,11.4263,18.286,2.1004
THEGEYSE_W0129,The Geysers,USA,Vapor-Dominated,38.73088,-122.75123,Production,2229.5,219.99,1.0,0.06499,43.2688,24.315,2.5001
THEGEYSE_W0130,The Geysers,USA,Vapor-Dominated,38.77902,-122.71238,Production,2126.7,251.64,1.0,0.05363,8.5039,23.269,2.7619
THEGEYSE_W0131,The Geysers,USA,Vapor-Dominated,38.7449,-122.77315,Production,2659.0,272.15,1.0,0.05878,25.0128,39.938,5.1515
THEGEYSE_W0132,The Geysers,USA,Vapor-Dominated,38.76525,-122.67761,Production,2484.6,253.9,1.0,0.05605,11.2429,23.882,2.8618
THEGEYSE_W0133,The Geysers,USA,Vapor-Dominated,38.77074,-122.74649,Production,2529.9,247.33,1.0,0.05368,9.6288,37.095,4.323
THEGEYSE_W0134,The Geysers,USA,Vapor-Dominated,38.73982,-122.65804,Production,1804.9,209.67,1.0,0.0679,11.3548,27.3,2.6657
THEGEYSE_W0135,The Geysers,USA,Vapor-Dominated,38.75092,-122.79074,Production,2345.7,266.58,1.0,0.03583,6.0094,17.459,2.2032
THEGEYSE_W0136,The Geysers,USA,Vapor-Dominated,38.79654,-122.69832,Production,2175.0,218.6,1.0,0.0462,14.3084,28.559,2.9165
THEGEYSE_W0137,The Geysers,USA,Vapor-Dominated,38.80792,-122.7362,Production,2424.8,244.48,1.0,0.04746,28.7623,16.567,1.907
THEGEYSE_W0138,The Geysers,USA,Vapor-Dominated,38.83457,-122.70954,Production,2120.0,235.3,1.0,0.06649,24.313,25.624,2.8314
THEGEYSE_W0139,The Geysers,USA,Vapor-Dominated,38.7896,-122.75546,Production,2836.5,261.11,1.0,0.04718,20.9333,31.974,3.9472
THEGEYSE_W0140,The Geysers,USA,Vapor-Dominated,38.68819,-122.7146,Production,2058.8,243.7,1.0,0.04639,8.2419,40.314,4.6247
THEGEYSE_W0141,The Geysers,USA,Vapor-Dominated,38.78409,-122.74494,Production,2321.7,249.41,1.0,0.05289,14.2757,37.075,4.3593
THEGEYSE_W0142,The Geysers,USA,Vapor-Dominated,38.80683,-122.78492,Production,2308.8,277.58,1.0,0.04617,8.1307,27.229,3.5863
THEGEYSE_W0143,The Geysers,USA,Vapor-Dominated,38.78052,-122.80559,Production,2281.2,274.45,1.0,0.07313,32.9483,36.524,4.7532
THEGEYSE_W0144,The Geysers,USA,Vapor-Dominated,38.73303,-122.7472,Production,2323.0,225.51,1.0,0.03439,2.5652,27.516,2.9055
THEGEYSE_W0145,The Geysers,USA,Vapor-Dominated,38.78743,-122.75685,Production,2508.2,235.34,1.0,0.04294,7.2109,47.988,5.3037
THEGEYSE_W0146,The Geysers,USA,Vapor-Dominated,38.78803,-122.73985,Production,3040.9,268.95,1.0,0.04759,7.0652,16.512,2.1033
THEGEYSE_W0147,The Geysers,USA,Vapor-Dominated,38.71166,-122.75124,Production,2667.8,280.56,1.11,0.03846,4.7036,39.02,5.1978
THEGEYSE_W0148,The Geysers,USA,Vapor-Dominated,38.75269,-122.72041,Production,2298.7,248.34,1.0,0.05054,11.1762,28.14,3.2936
THEGEYSE_W0149,The Geysers,USA,Vapor-Dominated,38.77863,-122.78666,Production,2426.6,223.67,1.0,0.03215,10.5781,35.606,3.7269
THEGEYSE_W0150,The Geysers,USA,Vapor-Dominated,38.74655,-122.688,Production,2089.1,208.91,1.0,0.04461,2.1508,32.817,3.1919
THEGEYSE_W0151,The Geysers,USA,Vapor-Dominated,38.84509,-122.66192,Production,2547.2,255.0,1.0,0.06152,47.4605,41.244,4.965
THEGEYSE_W0152,The Geysers,USA,Vapor-Dominated,38.76173,-122.73077,Production,1949.6,218.59,1.0,0.05154,13.9197,17.101,1.7463
THEGEYSE_W0153,The Geysers,USA,Vapor-Dominated,38.72765,-122.71317,Production,1960.1,194.66,1.0,0.04469,3.8201,32.136,2.896
THEGEYSE_W0154,The Geysers,USA,Vapor-Dominated,38.76387,-122.75254,Production,2118.6,205.72,1.0,0.05772,41.1992,26.321,2.518
THEGEYSE_W0155,The Geysers,USA,Vapor-Dominated,38.80691,-122.68637,Production,2487.7,275.53,1.0,0.0624,70.4788,38.336,5.0099
THEGEYSE_W0156,The Geysers,USA,Vapor-Dominated,38.76894,-122.75384,Production,2059.4,220.01,1.0,0.03709,1.4811,29.361,3.0193
THEGEYSE_W0157,The Geysers,USA,Vapor-Dominated,38.80455,-122.70326,Production,2763.1,288.52,1.0,0.05463,9.7022,28.823,3.9546
THEGEYSE_W0158,The Geysers,USA,Vapor-Dominated,38.75357,-122.71068,Production,2628.1,278.28,1.0,0.04733,9.6106,34.265,4.525
THEGEYSE_W0159,The Geysers,USA,Vapor-Dominated,38.81767,-122.72094,Production,2404.4,291.74,1.0,0.03287,3.4488,30.778,4.2723
THEGEYSE_W0160,The Geysers,USA,Vapor-Dominated,38.76955,-122.78253,Production,2504.6,272.81,1.0,0.05662,10.1336,48.811,6.3122
THEGEYSE_W0161,The Geysers,USA,Vapor-Dominated,38.7733,-122.73927,Production,2652.6,252.85,1.0,0.04335,3.9611,34.503,4.1163
THEGEYSE_W0162,The Geysers,USA,Vapor-Dominated,38.86635,-122.75998,Production,2612.8,227.03,1.0,0.04421,5.0093,36.503,3.8824
THEGEYSE_W0163,The Geysers,USA,Vapor-Dominated,38.75241,-122.61209,Production,2762.0,293.73,1.0,0.0576,13.2215,18.893,2.6415
THEGEYSE_W0164,The Geysers,USA,Vapor-Dominated,38.81892,-122.76756,Production,2509.4,241.34,1.0,0.0638,45.576,37.247,4.2287
THEGEYSE_W0165,The Geysers,USA,Vapor-Dominated,38.72292,-122.74968,Production,2398.7,225.81,1.0,0.05854,29.5268,29.104,3.0775
THEGEYSE_W0166,The Geysers,USA,Vapor-Dominated,38.84105,-122.7109,Production,2266.5,237.28,1.0,0.05278,20.0642,27.035,3.0142
THEGEYSE_W0167,The Geysers,USA,Vapor-Dominated,38.78704,-122.82842,Production,2045.0,233.0,1.0,0.04156,8.3456,25.159,2.7511
THEGEYSE_W0168,The Geysers,USA,Vapor-Dominated,38.7215,-122.88361,Production,2241.6,272.49,1.0,0.04795,13.409,36.341,4.6937
THEGEYSE_W0169,The Geysers,USA,Vapor-Dominated,38.73008,-122.72491,Production,2067.0,189.83,1.0,0.06077,35.1484,20.146,1.7667
THEGEYSE_W0170,The Geysers,USA,Vapor-Dominated,38.82568,-122.78016,Production,2603.6,276.88,1.0,0.05157,11.5659,23.832,3.1306
THEGEYSE_W0171,The Geysers,USA,Vapor-Dominated,38.81684,-122.75407,Production,2362.1,260.18,1.0,0.05122,6.5604,26.837,3.3005
THEGEYSE_W0172,The Geysers,USA,Vapor-Dominated,38.81971,-122.80271,Production,1794.8,227.19,1.0,0.05386,10.5224,22.839,2.4309
THEGEYSE_W0173,The Geysers,USA,Vapor-Dominated,38.74327,-122.78051,Production,2145.5,238.46,1.0,0.04476,7.0474,19.933,2.2343
THEGEYSE_W0174,The Geysers,USA,Vapor-Dominated,38.72639,-122.88607,Production,2711.7,277.19,1.0,0.05092,37.6578,18.742,2.4649
THEGEYSE_W0175,The Geysers,USA,Vapor-Dominated,38.78104,-122.7764,Production,2108.7,259.16,1.0,0.06826,17.0639,30.063,3.6818
THEGEYSE_W0176,The Geysers,USA,Vapor-Dominated,38.78613,-122.65877,Production,2659.4,258.9,1.0,0.04154,4.9782,25.015,3.0603
THEGEYSE_W0177,The Geysers,USA,Vapor-Dominated,38.82416,-122.74389,Production,2152.7,259.54,1.0,0.05484,15.6882,35.141,4.3104
THEGEYSE_W0178,The Geysers,USA,Vapor-Dominated,38.78566,-122.81191,Production,2429.1,256.23,1.0,0.06155,16.3148,43.664,5.2833
THEGEYSE_W0179,The Geysers,USA,Vapor-Dominated,38.80424,-122.78232,Production,2231.5,266.69,1.0,0.05824,17.1966,30.046,3.7933
THEGEYSE_W0180,The Geysers,USA,Vapor-Dominated,38.73224,-122.71882,Production,2645.3,258.01,1.0,0.04312,5.5669,38.486,4.6912
